title,studio,domestic_gross,foreign_gross,year,domestic_gross_mil,foreign_gross_mil,worldwide_gross_mil,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,primary_genre
Mr. Six,CL,1400000.0,137800000.0,2015,1.4,137.8,139.20000000000002,tt4701702,Mr. Six,Lao pao er,2015,134.0,"Action,Drama",7.1,2838,"Action,Drama"
The Big Short,Par.,70300000.0,63200000.0,2015,70.3,63.2,133.5,tt1596363,The Big Short,The Big Short,2015,130.0,"Biography,Comedy,Drama",7.8,309227,"Biography,Comedy,Drama"
Pan,WB,35100000.0,93300000.0,2015,35.1,93.3,128.4,tt3332064,Pan,Pan,2015,111.0,"Adventure,Comedy,Family",5.8,55867,"Adventure,Comedy,Family"
Wolf Totem,Sony,211000.0,125600000.0,2015,0.211,125.6,125.81099999999999,tt2909116,Wolf Totem,Le dernier loup,2015,121.0,"Adventure,Drama",6.7,5039,"Adventure,Drama"
Magic Mike XXL,WB,66000000.0,56500000.0,2015,66.0,56.5,122.5,tt2268016,Magic Mike XXL,Magic Mike XXL,2015,115.0,"Comedy,Drama,Music",5.6,48497,"Comedy,Drama,Music"
Dragon Blade,LGP,74100.0,121500000.0,2015,0.0741,121.5,121.5741,tt3672840,Dragon Blade,Tian jiang xiong shi,2015,127.0,"Action,Adventure,Drama",6.0,16672,"Action,Adventure,Drama"
Get Hard,WB,90400000.0,21400000.0,2015,90.4,21.4,111.80000000000001,tt2561572,Get Hard,Get Hard,2015,100.0,"Comedy,Crime",6.0,111187,"Comedy,Crime"
Paul Blart: Mall Cop 2,Sony,71000000.0,36600000.0,2015,71.0,36.6,107.6,tt3450650,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,2015,94.0,"Action,Comedy,Crime",4.4,30828,"Action,Comedy,Crime"
Shaun the Sheep Movie,LGF,19400000.0,86800000.0,2015,19.4,86.8,106.19999999999999,tt2872750,Shaun the Sheep Movie,Shaun the Sheep Movie,2015,85.0,"Adventure,Animation,Comedy",7.4,32935,"Adventure,Animation,Comedy"
Sisters,Uni.,87000000.0,18000000.0,2015,87.0,18.0,105.0,tt1850457,Sisters,Sisters,2015,118.0,Comedy,6.0,58994,Comedy
Vacation,WB (NL),58900000.0,46000000.0,2015,58.9,46.0,104.9,tt1524930,Vacation,Vacation,2015,99.0,"Adventure,Comedy",6.1,87582,"Adventure,Comedy"
Chappie,Sony,31600000.0,70500000.0,2015,31.6,70.5,102.1,tt1823672,Chappie,Chappie,2015,120.0,"Action,Crime,Drama",6.8,213733,"Action,Crime,Drama"
Joy,Fox,56500000.0,44700000.0,2015,56.5,44.7,101.2,tt2446980,Joy,Joy,2015,124.0,Drama,6.6,118086,Drama
Black Mass,WB,62600000.0,37200000.0,2015,62.6,37.2,99.80000000000001,tt1355683,Black Mass,Black Mass,2015,123.0,"Biography,Crime,Drama",6.9,155847,"Biography,Crime,Drama"
The Visit,Uni.,65200000.0,33200000.0,2015,65.2,33.2,98.4,tt3567288,The Visit,The Visit,2015,94.0,"Horror,Mystery,Thriller",6.2,102459,"Horror,Mystery,Thriller"
Spotlight,ORF,45100000.0,53200000.0,2015,45.1,53.2,98.30000000000001,tt1895587,Spotlight,Spotlight,2015,129.0,"Crime,Drama",8.1,365110,"Crime,Drama"
Spotlight,ORF,45100000.0,53200000.0,2015,45.1,53.2,98.30000000000001,tt7785302,Spotlight,Spotlight,2015,99.0,Drama,8.0,12,Drama
In the Heart of the Sea,WB,25000000.0,68900000.0,2015,25.0,68.9,93.9,tt1390411,In the Heart of the Sea,In the Heart of the Sea,2015,122.0,"Action,Adventure,Biography",6.9,108628,"Action,Adventure,Biography"
Southpaw,Wein.,52400000.0,39500000.0,2015,52.4,39.5,91.9,tt1798684,Southpaw,Southpaw,2015,124.0,"Drama,Sport",7.4,199783,"Drama,Sport"
The Second Best Exotic Marigold Hotel,FoxS,33100000.0,52900000.0,2015,33.1,52.9,86.0,tt2555736,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,2015,122.0,"Comedy,Drama",6.6,28931,"Comedy,Drama"
Paper Towns,Fox,32000000.0,53500000.0,2015,32.0,53.5,85.5,tt3622592,Paper Towns,Paper Towns,2015,109.0,"Comedy,Drama,Mystery",6.3,87742,"Comedy,Drama,Mystery"
Sicario,LGF,46900000.0,38000000.0,2015,46.9,38.0,84.9,tt3397884,Sicario,Sicario,2015,121.0,"Action,Crime,Drama",7.6,328548,"Action,Crime,Drama"
Hitman: Agent 47,Fox,22500000.0,59900000.0,2015,22.5,59.9,82.4,tt2679042,Hitman: Agent 47,Hitman: Agent 47,2015,96.0,"Action,Adventure,Crime",5.7,80510,"Action,Adventure,Crime"
The Wedding Ringer,SGem,64500000.0,15300000.0,2015,64.5,15.3,79.8,tt0884732,The Wedding Ringer,The Wedding Ringer,2015,101.0,Comedy,6.7,66893,Comedy
Paranormal Activity: The Ghost Dimension,Par.,18300000.0,60600000.0,2015,18.3,60.6,78.9,tt2473510,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,2015,88.0,"Horror,Mystery,Thriller",4.6,22361,"Horror,Mystery,Thriller"
Crimson Peak,Uni.,31100000.0,43600000.0,2015,31.1,43.6,74.7,tt2554274,Crimson Peak,Crimson Peak,2015,119.0,"Drama,Fantasy,Horror",6.5,119287,"Drama,Fantasy,Horror"
The Transporter Refueled,EC,16000000.0,56600000.0,2015,16.0,56.6,72.6,tt2938956,The Transporter Refueled,The Transporter Refueled,2015,96.0,"Action,Adventure,Crime",5.2,36201,"Action,Adventure,Crime"
Run All Night,WB,26500000.0,45200000.0,2015,26.5,45.2,71.7,tt2199571,Run All Night,Run All Night,2015,114.0,"Action,Drama,Thriller",6.6,94131,"Action,Drama,Thriller"
The Age of Adaline,LGF,42600000.0,23000000.0,2015,42.6,23.0,65.6,tt1655441,The Age of Adaline,The Age of Adaline,2015,112.0,"Drama,Fantasy,Romance",7.2,138924,"Drama,Fantasy,Romance"
The Danish Girl,Focus,11100000.0,53100000.0,2015,11.1,53.1,64.2,tt0810819,The Danish Girl,The Danish Girl,2015,119.0,"Biography,Drama,Romance",7.1,146873,"Biography,Drama,Romance"
The Longest Ride,Fox,37400000.0,25500000.0,2015,37.4,25.5,62.9,tt2726560,The Longest Ride,The Longest Ride,2015,123.0,"Drama,Romance",7.1,70327,"Drama,Romance"
Brooklyn,FoxS,38300000.0,23800000.0,2015,38.3,23.8,62.099999999999994,tt2381111,Brooklyn,Brooklyn,2015,117.0,"Drama,Romance",7.5,117021,"Drama,Romance"
