title,studio,domestic_gross,foreign_gross,year,domestic_gross_mil,foreign_gross_mil,worldwide_gross_mil,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,primary_genre
Toy Story 3,BV,415000000.0,652000000.0,2010,415.0,652.0,1067.0,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,"Adventure,Animation,Comedy"
Inception,WB,292600000.0,535700000.0,2010,292.6,535.7,828.3000000000001,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,"Action,Adventure,Sci-Fi"
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,238.7,513.9,752.5999999999999,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,"Adventure,Animation,Comedy"
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,300.5,398.0,698.5,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733,"Adventure,Drama,Fantasy"
Iron Man 2,Par.,312400000.0,311500000.0,2010,312.4,311.5,623.9,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,"Action,Adventure,Sci-Fi"
Tangled,BV,200800000.0,391000000.0,2010,200.8,391.0,591.8,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,"Adventure,Animation,Comedy"
Despicable Me,Uni.,251500000.0,291600000.0,2010,251.5,291.6,543.1,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",7.7,464511,"Animation,Comedy,Family"
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,217.6,277.3,494.9,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299,"Action,Adventure,Animation"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,104.4,311.3,415.70000000000005,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,"Adventure,Family,Fantasy"
The King's Speech,Wein.,135500000.0,275400000.0,2010,135.5,275.4,410.9,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",8.0,593629,"Biography,Drama,History"
The Karate Kid,Sony,176600000.0,182500000.0,2010,176.6,182.5,359.1,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",6.2,146401,"Action,Drama,Family"
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,90.8,245.6,336.4,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975,"Action,Adventure,Fantasy"
Black Swan,FoxS,107000000.0,222400000.0,2010,107.0,222.4,329.4,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",8.0,648854,"Drama,Thriller"
Megamind,P/DW,148400000.0,173500000.0,2010,148.4,173.5,321.9,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",7.3,207488,"Action,Animation,Comedy"
Robin Hood,Uni.,105300000.0,216400000.0,2010,105.3,216.4,321.7,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480,"Action,Adventure,Drama"
The Last Airbender,Par.,131800000.0,187900000.0,2010,131.8,187.9,319.70000000000005,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734,"Action,Adventure,Family"
Little Fockers,Uni.,148400000.0,162200000.0,2010,148.4,162.2,310.6,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",5.5,99222,"Comedy,Romance"
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,60.1,240.1,300.2,tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",5.9,153270,"Action,Adventure,Horror"
Shutter Island,Par.,128000000.0,166800000.0,2010,128.0,166.8,294.8,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960,"Mystery,Thriller"
Salt,Sony,118300000.0,175200000.0,2010,118.3,175.2,293.5,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",6.4,277204,"Action,Mystery,Thriller"
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,95.3,193.0,288.3,tt1261945,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",4.4,69199,"Comedy,Drama,Romance"
The Tourist,Sony,67600000.0,210700000.0,2010,67.6,210.7,278.29999999999995,tt1243957,The Tourist,The Tourist,2010,103.0,"Action,Adventure,Thriller",6.0,206714,"Action,Adventure,Thriller"
The Expendables,LGF,103100000.0,171400000.0,2010,103.1,171.4,274.5,tt1320253,The Expendables,The Expendables,2010,103.0,"Action,Adventure,Thriller",6.5,307897,"Action,Adventure,Thriller"
Grown Ups,Sony,162000000.0,109400000.0,2010,162.0,109.4,271.4,tt1375670,Grown Ups,Grown Ups,2010,102.0,Comedy,6.0,210377,Comedy
True Grit,Par.,171200000.0,81000000.0,2010,171.2,81.0,252.2,tt1403865,True Grit,True Grit,2010,110.0,"Adventure,Drama,Western",7.6,284034,"Adventure,Drama,Western"
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,42.8,194.6,237.39999999999998,tt1320261,Gulliver's Travels,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",4.9,61178,"Adventure,Comedy,Family"
The Social Network,Sony,97000000.0,128000000.0,2010,97.0,128.0,225.0,tt1285016,The Social Network,The Social Network,2010,120.0,"Biography,Drama",7.7,568578,"Biography,Drama"
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,110.5,106.0,216.5,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171,"Comedy,Romance"
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,63.2,152.1,215.3,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",6.1,143862,"Action,Adventure,Family"
Due Date,WB,100500000.0,111200000.0,2010,100.5,111.2,211.7,tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",6.5,303523,"Adventure,Comedy"
Eat Pray Love,Sony,80600000.0,124000000.0,2010,80.6,124.0,204.6,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",5.8,77709,"Drama,Romance"
Yogi Bear,WB,100200000.0,101300000.0,2010,100.2,101.3,201.5,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",4.6,18934,"Adventure,Animation,Comedy"
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,84.8,92.8,177.6,tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010,91.0,Horror,5.7,93122,Horror
The A-Team,Fox,77200000.0,100000000.0,2010,77.2,100.0,177.2,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256,"Action,Adventure,Thriller"
The Other Guys,Sony,119200000.0,51200000.0,2010,119.2,51.2,170.4,tt1386588,The Other Guys,The Other Guys,2010,107.0,"Action,Comedy,Crime",6.7,221664,"Action,Comedy,Crime"
Unstoppable,Fox,81600000.0,86200000.0,2010,81.6,86.2,167.8,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019,"Action,Thriller"
The Book of Eli,WB,94800000.0,62300000.0,2010,94.8,62.3,157.1,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",6.9,271307,"Action,Adventure,Drama"
The Town,WB,92200000.0,61800000.0,2010,92.2,61.8,154.0,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524,"Crime,Drama,Thriller"
Date Night,Fox,98700000.0,53600000.0,2010,98.7,53.6,152.3,tt1279935,Date Night,Date Night,2010,88.0,"Comedy,Crime,Romance",6.3,144683,"Comedy,Crime,Romance"
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,55.7,84.4,140.10000000000002,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",7.0,73790,"Action,Adventure,Animation"
The Wolfman,Uni.,62000000.0,77800000.0,2010,62.0,77.8,139.8,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873,"Drama,Fantasy,Horror"
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,67.099999,69.3,136.39999899999998,tt1038919,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",5.6,112444,"Action,Comedy,Romance"
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000.0,2010,52.5,82.3,134.8,tt1027718,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,133.0,Drama,6.2,93486,Drama
The Fighter,Par.,93600000.0,35600000.0,2010,93.6,35.6,129.2,tt0964517,The Fighter,The Fighter,2010,116.0,"Biography,Drama,Sport",7.8,316539,"Biography,Drama,Sport"
Predators,Fox,52000000.0,75200000.0,2010,52.0,75.2,127.2,tt1424381,Predators,Predators,2010,107.0,"Action,Adventure,Sci-Fi",6.4,199764,"Action,Adventure,Sci-Fi"
Dear John,SGem,80000000.0,35000000.0,2010,80.0,35.0,115.0,tt0989757,Dear John,Dear John,2010,108.0,"Drama,Romance,War",6.3,128657,"Drama,Romance,War"
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,43.6,68.9,112.5,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family",4.3,12642,"Action,Comedy,Family"
Tooth Fairy,Fox,60000000.0,52400000.0,2010,60.0,52.4,112.4,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939,"Comedy,Family,Fantasy"
Life as We Know It,WB,53400000.0,52300000.0,2010,53.4,52.3,105.69999999999999,tt1055292,Life as We Know It,Life as We Know It,2010,114.0,"Comedy,Drama,Romance",6.6,113077,"Comedy,Drama,Romance"
Hereafter,WB,32700000.0,72500000.0,2010,32.7,72.5,105.2,tt1212419,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",6.5,87288,"Drama,Fantasy,Romance"
Killers,LGF,47100000.0,51100000.0,2010,47.1,51.1,98.2,tt1103153,Killers,Killers,2010,100.0,"Action,Comedy,Romance",5.4,82237,"Action,Comedy,Romance"
Kick-Ass,LGF,48100000.0,48100000.0,2010,48.1,48.1,96.2,tt1250777,Kick-Ass,Kick-Ass,2010,117.0,"Action,Comedy",7.6,497363,"Action,Comedy"
Green Zone,Uni.,35100000.0,59800000.0,2010,35.1,59.8,94.9,tt0947810,Green Zone,Green Zone,2010,115.0,"Action,Drama,Thriller",6.8,122132,"Action,Drama,Thriller"
Nanny McPhee Returns,Uni.,29000000.0,64200000.0,2010,29.0,64.2,93.2,tt1415283,Nanny McPhee Returns,Nanny McPhee and the Big Bang,2010,109.0,"Comedy,Family,Fantasy",6.1,25048,"Comedy,Family,Fantasy"
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,61.0,30.3,91.3,tt1226229,Get Him to the Greek,Get Him to the Greek,2010,109.0,"Adventure,Comedy,Music",6.4,161653,"Adventure,Comedy,Music"
Burlesque,SGem,39400000.0,50100000.0,2010,39.4,50.1,89.5,tt1126591,Burlesque,Burlesque,2010,119.0,"Drama,Music,Musical",6.4,71021,"Drama,Music,Musical"
The Last Song,BV,63000000.0,26100000.0,2010,63.0,26.1,89.1,tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",6.0,74914,"Drama,Music,Romance"
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,73.0,13.8,86.8,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,5.9,91546,Comedy
Marmaduke,Fox,33600000.0,50100000.0,2010,33.6,50.1,83.7,tt1392197,Marmaduke,Marmaduke,2010,87.0,"Comedy,Family",4.2,13283,"Comedy,Family"
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,25.0,58.2,83.2,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327,"Comedy,Horror"
Edge of Darkness,WB,43300000.0,37800000.0,2010,43.3,37.8,81.1,tt1226273,Edge of Darkness,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery",6.6,84753,"Crime,Drama,Mystery"
Vampires Suck,Fox,36700000.0,43900000.0,2010,36.7,43.9,80.6,tt1666186,Vampires Suck,Vampires Suck,2010,82.0,Comedy,3.4,43984,Comedy
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,53.0,26.1,79.1,tt0892318,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",6.6,86137,"Adventure,Comedy,Drama"
Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,64.0,11.7,75.7,tt1196141,Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010,94.0,"Comedy,Drama,Family",6.2,38640,"Comedy,Drama,Family"
Easy A,SGem,58400000.0,16600000.0,2010,58.4,16.6,75.0,tt1282140,Easy A,Easy A,2010,92.0,"Comedy,Drama,Romance",7.1,330125,"Comedy,Drama,Romance"
Takers,SGem,57700000.0,11300000.0,2010,57.7,11.3,69.0,tt1135084,Takers,Takers,2010,107.0,"Action,Crime,Thriller",6.2,53377,"Action,Crime,Thriller"
The American,Focus,35600000.0,32299999.0,2010,35.6,32.299999,67.89999900000001,tt1440728,The American,The American,2010,105.0,"Crime,Drama,Thriller",6.3,86863,"Crime,Drama,Thriller"
The Last Exorcism,LGF,41000000.0,26700000.0,2010,41.0,26.7,67.7,tt1320244,The Last Exorcism,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",5.6,45815,"Drama,Horror,Thriller"
The Next Three Days,LGF,21100000.0,46300000.0,2010,21.1,46.3,67.4,tt1458175,The Next Three Days,The Next Three Days,2010,133.0,"Action,Crime,Drama",7.4,168066,"Action,Crime,Drama"
Skyline,Uni.,21400000.0,45400000.0,2010,21.4,45.4,66.8,tt1564585,Skyline,Skyline,2010,92.0,"Action,Sci-Fi,Thriller",4.4,83710,"Action,Sci-Fi,Thriller"
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,50.3,14.3,64.6,tt1231587,Hot Tub Time Machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",6.4,153962,"Comedy,Sci-Fi"
Devil,Uni.,33600000.0,29100000.0,2010,33.6,29.1,62.7,tt1314655,Devil,Devil,2010,80.0,"Horror,Mystery,Thriller",6.2,122080,"Horror,Mystery,Thriller"
127 Hours,FoxS,18300000.0,42400000.0,2010,18.3,42.4,60.7,tt1542344,127 Hours,127 Hours,2010,94.0,"Adventure,Biography,Drama",7.6,323949,"Adventure,Biography,Drama"
Secretariat,BV,59700000.0,537000.0,2010,59.7,0.537,60.237,tt1028576,Secretariat,Secretariat,2010,123.0,"Biography,Drama,Family",7.2,24536,"Biography,Drama,Family"
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,15.5,44.7,60.2,tt1139328,The Ghost Writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",7.2,148274,"Drama,Mystery,Thriller"
Morning Glory,Par.,31000000.0,29000000.0,2010,31.0,29.0,60.0,tt1126618,Morning Glory,Morning Glory,2010,107.0,"Comedy,Drama,Romance",6.5,67367,"Comedy,Drama,Romance"
Remember Me,Sum.,19100000.0,37000000.0,2010,19.1,37.0,56.1,tt1403981,Remember Me,Remember Me,2010,113.0,"Drama,Romance",7.1,129443,"Drama,Romance"
Cop Out,WB,44900000.0,10700000.0,2010,44.9,10.7,55.599999999999994,tt1385867,Cop Out,Cop Out,2010,107.0,"Action,Comedy,Crime",5.6,81656,"Action,Comedy,Crime"
The Crazies,Over.,39100000.0,15700000.0,2010,39.1,15.7,54.8,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465,"Horror,Thriller"
From Paris with Love,LGF,24100000.0,28700000.0,2010,24.1,28.7,52.8,tt1179034,From Paris with Love,From Paris with Love,2010,92.0,"Action,Crime,Thriller",6.5,107079,"Action,Crime,Thriller"
Alpha and Omega,LGF,25100000.0,25400000.0,2010,25.1,25.4,50.5,tt1213012,Alpha and Omega,Alpha and Omega,2010,90.0,"Adventure,Animation,Comedy",5.3,12463,"Adventure,Animation,Comedy"
The Switch,Mira.,27800000.0,22100000.0,2010,27.8,22.1,49.900000000000006,tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",6.1,90661,"Comedy,Drama,Romance"
She's Out of My League,Par.,32000000.0,17800000.0,2010,32.0,17.8,49.8,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",6.4,117245,"Comedy,Romance"
How Do You Know,Sony,30200000.0,18500000.0,2010,30.2,18.5,48.7,tt1341188,How Do You Know,How Do You Know,2010,121.0,"Comedy,Drama,Romance",5.4,41072,"Comedy,Drama,Romance"
Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,31.2,17.0,48.2,tt1438254,Charlie St. Cloud,Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance",6.5,55016,"Drama,Fantasy,Romance"
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010,31.5,16.1,47.6,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",7.5,339338,"Action,Comedy,Fantasy"
Heartbreaker,IFC,504000.0,46900000.0,2010,0.504,46.9,47.403999999999996,tt1465487,Heartbreaker,L'arnacoeur,2010,105.0,"Comedy,Romance",6.8,23995,"Comedy,Romance"
The Spy Next Door,LGF,24300000.0,20900000.0,2010,24.3,20.9,45.2,tt1273678,The Spy Next Door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",5.5,36767,"Action,Comedy,Family"
Machete,Fox,26600000.0,17500000.0,2010,26.6,17.5,44.1,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",6.6,182320,"Action,Crime,Thriller"
When in Rome,BV,32700000.0,10400000.0,2010,32.7,10.4,43.1,tt1185416,When in Rome,When in Rome,2010,91.0,"Comedy,Romance",5.6,57396,"Comedy,Romance"
Going the Distance,WB (NL),17800000.0,24200000.0,2010,17.8,24.2,42.0,tt1322312,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",6.3,54421,"Comedy,Romance"
For Colored Girls,LGF,37700000.0,17300.0,2010,37.7,0.0173,37.7173,tt1405500,For Colored Girls,For Colored Girls,2010,133.0,Drama,6.1,6728,Drama
Furry Vengeance,Sum.,17600000.0,18600000.0,2010,17.6,18.6,36.2,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700,"Comedy,Family"
Faster,CBS,23200000.0,12400000.0,2010,23.2,12.4,35.6,tt1433108,Faster,Faster,2010,98.0,"Action,Crime,Drama",6.5,93618,"Action,Crime,Drama"
The Kids Are All Right,Focus,20800000.0,13900000.0,2010,20.8,13.9,34.7,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,120656,"Comedy,Drama,Romance"
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,3.2,31.0,34.2,tt1182350,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance",6.3,41608,"Comedy,Drama,Romance"
Leap Year,Uni.,25900000.0,6700000.0,2010,25.9,6.7,32.6,tt1216492,Leap Year,Leap Year,2010,100.0,"Comedy,Romance",6.5,86125,"Comedy,Romance"
Leap Year,Uni.,25900000.0,6700000.0,2010,25.9,6.7,32.6,tt1537401,Leap Year,Año bisiesto,2010,94.0,"Drama,Romance",5.9,2211,"Drama,Romance"
You Again,BV,25700000.0,6300000.0,2010,25.7,6.3,32.0,tt1414382,You Again,You Again,2010,105.0,"Comedy,Family,Romance",5.8,46690,"Comedy,Family,Romance"
The Losers,WB,23600000.0,5800000.0,2010,23.6,5.8,29.400000000000002,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876,"Action,Adventure,Crime"
Ramona and Beezus,Fox,26200000.0,1100000.0,2010,26.2,1.1,27.3,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086,"Adventure,Comedy,Family"
Let Me In,Over.,12100000.0,12000000.0,2010,12.1,12.0,24.1,tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",7.1,107012,"Drama,Fantasy,Horror"
Just Wright,FoxS,21500000.0,29900.0,2010,21.5,0.0299,21.5299,tt1407061,Just Wright,Just Wright,2010,100.0,"Comedy,Romance,Sport",5.9,12466,"Comedy,Romance,Sport"
Our Family Wedding,FoxS,20300000.0,1200000.0,2010,20.3,1.2,21.5,tt1305583,Our Family Wedding,Our Family Wedding,2010,103.0,"Comedy,Romance",4.9,6417,"Comedy,Romance"
My Soul to Take,Uni.,14700000.0,6200000.0,2010,14.7,6.2,20.9,tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",4.8,18381,"Horror,Mystery,Thriller"
Country Strong,SGem,20200000.0,310000.0,2010,20.2,0.31,20.509999999999998,tt1555064,Country Strong,Country Strong,2010,117.0,"Drama,Music",6.3,16296,"Drama,Music"
Another Year,SPC,3200000.0,16500000.0,2010,3.2,16.5,19.7,tt1431181,Another Year,Another Year,2010,129.0,"Comedy,Drama",7.3,26273,"Comedy,Drama"
Buried,LGF,1000000.0,18100000.0,2010,1.0,18.1,19.1,tt1462758,Buried,Buried,2010,95.0,"Drama,Mystery,Thriller",7.0,139426,"Drama,Mystery,Thriller"
Repo Men,Uni.,13800000.0,4600000.0,2010,13.8,4.6,18.4,tt1053424,Repo Men,Repo Men,2010,111.0,"Action,Crime,Sci-Fi",6.3,96144,"Action,Crime,Sci-Fi"
The Nutcracker in 3D,Free,195000.0,16000000.0,2010,0.195,16.0,16.195,tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",4.3,3119,"Action,Family,Fantasy"
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010,6.1,9.9,16.0,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey to a Prehistoric World,2010,41.0,Documentary,6.9,364,Documentary
I Hate Luv Storys,UTV,848000.0,14900000.0,2010,0.848,14.9,15.748000000000001,tt1667838,I Hate Luv Storys,I Hate Luv Storys,2010,129.0,"Comedy,Drama,Romance",5.7,6921,"Comedy,Drama,Romance"
Extraordinary Measures,CBS,12100000.0,3100000.0,2010,12.1,3.1,15.2,tt1244659,Extraordinary Measures,Extraordinary Measures,2010,106.0,Drama,6.5,15673,Drama
Somewhere,Focus,1800000.0,12200000.0,2010,1.8,12.2,14.0,tt1421051,Somewhere,Somewhere,2010,97.0,"Comedy,Drama",6.3,40250,"Comedy,Drama"
Winter's Bone,RAtt.,6500000.0,7300000.0,2010,6.5,7.3,13.8,tt1399683,Winter's Bone,Winter's Bone,2010,100.0,"Drama,Mystery",7.2,127751,"Drama,Mystery"
Raajneeti,UTV,1500000.0,11100000.0,2010,1.5,11.1,12.6,tt1291465,Raajneeti,Raajneeti,2010,163.0,"Crime,Drama",7.2,15214,"Crime,Drama"
Made in Dagenham,SPC,1100000.0,11300000.0,2010,1.1,11.3,12.4,tt1371155,Made in Dagenham,Made in Dagenham,2010,113.0,"Biography,Comedy,Drama",7.2,13121,"Biography,Comedy,Drama"
Blue Valentine,Wein.,9700000.0,2600000.0,2010,9.7,2.6,12.299999999999999,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",7.4,170089,"Drama,Romance"
Tamara Drewe,SPC,560000.0,11400000.0,2010,0.56,11.4,11.96,tt1486190,Tamara Drewe,Tamara Drewe,2010,107.0,"Comedy,Drama,Romance",6.2,19362,"Comedy,Drama,Romance"
The Warrior's Way,Rela.,5700000.0,5400000.0,2010,5.7,5.4,11.100000000000001,tt1032751,The Warrior's Way,The Warrior's Way,2010,100.0,"Action,Fantasy,Western",6.3,24271,"Action,Fantasy,Western"
Jonah Hex,WB,10500000.0,356000.0,2010,10.5,0.356,10.856,tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",4.7,51860,"Action,Drama,Fantasy"
Cyrus,FoxS,7500000.0,2500000.0,2010,7.5,2.5,10.0,tt1327709,Cyrus,Cyrus,2010,87.0,"Crime,Horror,Mystery",4.7,944,"Crime,Horror,Mystery"
Cyrus,FoxS,7500000.0,2500000.0,2010,7.5,2.5,10.0,tt1336617,Cyrus,Cyrus,2010,91.0,"Comedy,Drama,Romance",6.3,32457,"Comedy,Drama,Romance"
Conviction,FoxS,6800000.0,2900000.0,2010,6.8,2.9,9.7,tt1244754,Conviction,Conviction,2010,107.0,"Biography,Crime,Drama",7.2,39771,"Biography,Crime,Drama"
Babies,Focus,7300000.0,2200000.0,2010,7.3,2.2,9.5,tt1020938,Babies,Bébé(s),2010,79.0,Documentary,7.1,6672,Documentary
Stone,Over.,1800000.0,7700000.0,2010,1.8,7.7,9.5,tt1423995,Stone,Stone,2010,105.0,"Drama,Thriller",5.4,38667,"Drama,Thriller"
Never Let Me Go,FoxS,2400000.0,7000000.0,2010,2.4,7.0,9.4,tt1334260,Never Let Me Go,Never Let Me Go,2010,103.0,"Drama,Romance,Sci-Fi",7.1,130084,"Drama,Romance,Sci-Fi"
MacGruber,Uni.,8500000.0,797000.0,2010,8.5,0.797,9.297,tt1470023,MacGruber,MacGruber,2010,90.0,"Action,Comedy,Romance",5.5,39782,"Action,Comedy,Romance"
Inside Job,SPC,4300000.0,3600000.0,2010,4.3,3.6,7.9,tt1645089,Inside Job,Inside Job,2010,109.0,"Crime,Documentary",8.3,65304,"Crime,Documentary"
Centurion,Magn.,124000.0,6700000.0,2010,0.124,6.7,6.824,tt1020558,Centurion,Centurion,2010,97.0,"Action,Adventure,Drama",6.4,74085,"Action,Adventure,Drama"
Animal Kingdom,SPC,1000000.0,5700000.0,2010,1.0,5.7,6.7,tt1313092,Animal Kingdom,Animal Kingdom,2010,113.0,"Crime,Drama",7.3,51576,"Crime,Drama"
It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,6.4,0.128,6.5280000000000005,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",7.1,125583,"Comedy,Drama,Romance"
Greenberg,Focus,4200000.0,1900000.0,2010,4.2,1.9,6.1,tt1234654,Greenberg,Greenberg,2010,107.0,"Comedy,Drama,Romance",6.1,33702,"Comedy,Drama,Romance"
Exit Through the Gift Shop,PDA,3300000.0,2000000.0,2010,3.3,2.0,5.3,tt1587707,Exit Through the Gift Shop,Exit Through the Gift Shop,2010,87.0,"Comedy,Crime,Documentary",8.0,58721,"Comedy,Crime,Documentary"
Rabbit Hole,LGF,2200000.0,2900000.0,2010,2.2,2.9,5.1,tt0935075,Rabbit Hole,Rabbit Hole,2010,91.0,Drama,7.0,45357,Drama
The Runaways,App.,3600000.0,1100000.0,2010,3.6,1.1,4.7,tt1017451,The Runaways,The Runaways,2010,106.0,"Biography,Drama,Music",6.6,43792,"Biography,Drama,Music"
